dp,case_name,status,max_displacement_m,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,criterion_mode,criterion_class,criterion_reference_time_s,moved,rotated,flow_gauge_id,water_gauge_id,sim_time_s,n_timesteps,n_particles,mem_gpu_mb,mem_gpu_cells_mb,tiempo_min,family,group,prefix,source_csv,mu,disp_pct_deq,failed,disp_mm,disp_margin_mm,evidence_scope
0.004,conv_edge_f0681_full_dp0004,OK,0.0073645597967564,5.360154842943011,0.0999997783047542,16.462801349736928,2799.050657441733,0.7597786178542205,0.0680779,displacement_only,FALLO,0.500036,True,True,V05,hmax03,9.999012,9500,8152043,1557.2743377685547,119.73717498779295,89.10643757979075,conv_edge,edge_grid,conv_edge_f0681_full,conv_edge_f0681_full.csv,0.681,7.333716035579356,1.0,7.3645597967564,2.3435097967564005,principal_frontier
0.005,conv_edge_f0681_full_dp0005,OK,0.005966332541855,4.288410856233305,0.0999997783047542,12.002363171330051,10523.204966179504,0.807964228797909,0.0715006,displacement_only,FALLO,0.50001,True,False,V05,hmax03,9.999017,9500,4691009,937.5024528503418,110.27845001220705,47.77166832685471,conv_edge,edge_grid,conv_edge_f0681_full,conv_edge_f0681_full.csv,0.681,5.941344743384698,1.0,5.966332541855,0.9452825418549996,principal_frontier
0.002,conv_edge_f0685_full_dp0002,OK,0.0019792597100935,7.432849018369503,0.0698784248677658,9.007174023299427,13000.396962696948,0.7388532141493187,0.0646409,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.999013,9500,51862438,9907.530849456787,762.1535110473633,1139.423736011982,conv_edge,edge_grid,conv_edge_f0685_full,conv_edge_f0685_full.csv,0.685,1.9709703057720425,0.0,1.9792597100935,-3.0417902899064995,principal_frontier
0.003,conv_edge_f0685_full_dp0003,OK,0.0037975072086827,4.759904150549482,0.1000005276636078,8.246558916542098,10741.719666077355,0.7612354979952262,0.0681774,displacement_only,ESTABLE,0.500009,False,False,V05,hmax03,9.999001,9500,17525854,3338.543342590332,248.0421524047852,249.94522610902783,conv_edge,edge_grid,conv_edge_f0685_full,conv_edge_f0685_full.csv,0.685,3.7816027407111488,0.0,3.7975072086827,-1.2235427913172998,principal_frontier
0.004,conv_edge_f0685_full_dp0004,OK,0.0103432223702287,5.577916100687739,0.0999997783047542,16.478676944794444,2806.142559650168,0.760931106646193,0.0681804,displacement_only,FALLO,0.500036,True,True,V05,hmax03,9.999036,9500,8152043,1557.2743377685547,119.73717498779295,89.72851169109344,conv_edge,edge_grid,conv_edge_f0685_full,conv_edge_f0685_full.csv,0.685,10.299903571903736,1.0,10.3432223702287,5.3221723702287,principal_frontier
0.005,conv_edge_f0685_full_dp0005,OK,0.0053244562163661,3.870077532629497,0.0999997783047542,10.50636291273531,10523.204966179504,0.819887327381025,0.0711947,displacement_only,FALLO,0.50001,True,False,V05,hmax03,9.99901,9500,4691009,937.5024528503418,110.27845001220705,48.75042939186096,conv_edge,edge_grid,conv_edge_f0685_full,conv_edge_f0685_full.csv,0.685,5.30215668177517,1.0,5.324456216366101,0.3034062163661009,principal_frontier
0.002,conv_probe_dp002_f06625_dp0002,OK,0.0028368579449802,7.286304068169497,0.0781448419666966,8.399314168121169,13299.80512212867,0.7413552022064467,0.0647994,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.99901,9500,51862438,9999.701778411863,854.3244400024414,1140.0508876403171,conv_probe,fine_probe,conv_probe_dp002_f06625,conv_probe_dp002_f06625.csv,0.6625,2.824976804577718,0.0,2.8368579449802,-2.1841920550198,supplemental_fine_probe
0.002,conv_reassure_dp002_f068025_dp0002,OK,0.0022878507381384,7.205437193697128,0.0698256085401337,8.177989792503352,12968.49513905912,0.7429348477881489,0.0651985,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.999008,9500,51862438,9907.77233505249,762.3949966430664,1132.6380968928338,conv_reassure,frontier_refinement,conv_reassure_dp002_f068025,conv_reassure_dp002_f068025.csv,0.68025,2.278268913328389,0.0,2.2878507381384,-2.7331992618616,frontier_refinement
0.003,conv_reassure_dp003_f068025_dp0003,OK,0.0099262517094823,6.179061990273876,0.0999956335196692,9.14859877236558,10754.481215152418,0.8747710219444857,0.0686621,displacement_only,FALLO,0.500009,True,True,V05,hmax03,9.999015,9500,17525854,3338.452796936035,247.95160675048828,248.9142513990402,conv_reassure,frontier_refinement,conv_reassure_dp003_f068025,conv_reassure_dp003_f068025.csv,0.68025,9.884679240039535,1.0,9.9262517094823,4.9052017094823,frontier_refinement
0.002,conv_reassure_dp002_f068050_dp0002,OK,0.002649373510851,7.978862820919385,0.0698015915291334,7.890777247643036,12907.550129067871,0.788098638294293,0.0655551,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.999009,9500,51862438,9907.77233505249,762.3949966430664,1158.9447503288586,conv_reassure,frontier_refinement,conv_reassure_dp002_f068050,conv_reassure_dp002_f068050.csv,0.6805,2.6382775803279803,0.0,2.649373510851,-2.371676489149,frontier_refinement
0.003,conv_reassure_dp003_f068050_dp0003,OK,0.0053171406789735,5.230164601229532,0.0999966822049611,8.497993397267381,10753.968155974086,0.7583917024782708,0.0683779,displacement_only,FALLO,0.500009,True,True,V05,hmax03,9.999003,9500,17525854,3338.543342590332,248.0421524047852,249.20642940600712,conv_reassure,frontier_refinement,conv_reassure_dp003_f068050,conv_reassure_dp003_f068050.csv,0.6805,5.294871782831386,1.0,5.317140678973501,0.2960906789735009,frontier_refinement
0.002,conv_reassure_dp002_f068075_dp0002,OK,0.002421605459194,8.49086146452181,0.069804069208034,8.163126592390931,12901.933587757305,0.7489199453491008,0.0645338,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.999002,9500,51862438,9907.530849456787,762.1535110473633,1144.327798040708,conv_reassure,frontier_refinement,conv_reassure_dp002_f068075,conv_reassure_dp002_f068075.csv,0.68075,2.4114634517272067,0.0,2.421605459194,-2.599444540806,frontier_refinement
0.003,conv_reassure_dp003_f068075_dp0003,OK,0.0040511851352415,4.817457168265961,0.099996632273292,9.01531957877168,10753.554692963073,0.8128436343602624,0.0687271,displacement_only,ESTABLE,0.500009,False,False,V05,hmax03,9.999024,9500,17525854,3338.452796936035,247.95160675048828,247.44254391590755,conv_reassure,frontier_refinement,conv_reassure_dp003_f068075,conv_reassure_dp003_f068075.csv,0.68075,4.034218230193039,0.0,4.0511851352415,-0.9698648647584998,frontier_refinement
0.003,conv_reassure_dp003_f068125_dp0003,OK,0.0036281907336849,5.170470080627458,0.0999955836274782,9.226193079719335,10752.111791975463,0.7743576421958268,0.0684731,displacement_only,ESTABLE,0.500009,False,True,V05,hmax03,9.999014,9500,17525854,3338.543342590332,248.0421524047852,249.3901604016622,conv_reassure,frontier_refinement,conv_reassure_dp003_f068125,conv_reassure_dp003_f068125.csv,0.68125,3.612995385750676,0.0,3.6281907336849,-1.3928592663150998,frontier_refinement
0.002,conv_repeat_dp002_f0680_r2_dp0002,OK,0.0033294579138354,7.908436621770911,0.0698022756290939,7.999537104206781,12933.214341721086,0.7759892181076036,0.0651282,displacement_only,ESTABLE,0.500003,False,True,V05,hmax03,9.999001,9500,51862438,9907.04787826538,761.670539855957,1144.532885213693,conv_repeat,repeatability_check,conv_repeat_dp002_f0680_r2,conv_repeat_dp002_f0680_r2.csv,0.68,3.315513698895612,0.0,3.3294579138354,-1.6915920861646,repeatability_check
0.003,conv_repeat_dp003_f0680_r2_dp0003,OK,0.0081214610754467,5.864659461299195,0.0999966822049611,8.37318304000032,10755.302259345484,0.7599104895518485,0.068941,displacement_only,FALLO,0.500009,True,True,V05,hmax03,9.999014,9500,17525854,3338.452796936035,247.95160675048828,249.48560744524,conv_repeat,repeatability_check,conv_repeat_dp003_f0680_r2,conv_repeat_dp003_f0680_r2.csv,0.68,8.08744731050584,1.0,8.1214610754467,3.1004110754467,repeatability_check
0.003,conv_repeat_dp003_f0681_r2_dp0003,OK,0.0042962910748693,5.203381145335124,0.0999976809431098,8.352211079012312,10752.83374056948,0.7298531669072721,0.0682437,displacement_only,ESTABLE,0.500009,False,True,V05,hmax03,9.999014,9500,17525854,3338.452796936035,247.95160675048828,248.48681220213567,conv_repeat,repeatability_check,conv_repeat_dp003_f0681_r2,conv_repeat_dp003_f0681_r2.csv,0.681,4.278297633371513,0.0,4.2962910748693,-0.7247589251306996,repeatability_check
