case_id,status,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,moved,rotated,max_displacement_m,disp_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,output_path,quality_flags,notas,batch,source_file,case_name,disp_margin_pct,sim_time_reached_s,n_timesteps,hardware,failed,max_displacement_pct_deq,sim_time_reached,flow_gauge_id,flow_gauge_distance,water_gauge_id,water_gauge_distance,disp_mm,margin_mm,margin_pct_deq,max_rotation,max_velocity,max_sph_force,max_contact_force,max_flow_velocity,max_water_height,disp_pct_deq_unified,margin_train_pct_deq,class_from_margin,is_partial_or_diagnostic,is_official,selection_reason,used_for_gp
batch3_base_mu0682,OK,0.003,0.2,1.0,0.0,0.682,20.0,displacement_only,0.500009,ESTABLE,False,True,0.0042683773263383,4.250500791351798,5.332698290134056,0.0999987296219307,10.486210119261582,10750.352411514818,0.7516506483811556,0.0678944,253.16829426666663,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0682,rotation_diagnostic_only,,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,batch3_base_mu0682,-0.749499208648202,9.99902,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,,,,0.749499208648202,,,,,,,4.250500791351798,0.749499208648202,ESTABLE,False,True,included,True
batch2_base_mu0685,OK,0.003,0.2,1.0,0.0,0.685,20.0,displacement_only,0.500009,ESTABLE,False,False,0.0037975072086827,3.7816027407111488,4.759904150549482,0.1000005276636078,8.246558916542098,10741.719666077355,0.7612354979952262,0.0681774,253.8906412833333,17525854.0,3338.543342590332,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_base_mu0685,,,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,batch2_base_mu0685,-1.2183972592888512,,,,,,,,,,,,,1.2183972592888512,,,,,,,3.7816027407111488,1.2183972592888512,ESTABLE,False,True,included,True
batch2_base_mu0700,OK,0.003,0.2,1.0,0.0,0.7,20.0,displacement_only,0.500009,ESTABLE,False,False,0.0023215824344615,2.3118593367968665,4.86725724256299,0.1000772706012709,8.387386178801414,10715.68477364116,0.7929746302177643,0.0678218,253.5903320333333,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_base_mu0700,,,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,batch2_base_mu0700,-2.688140663203133,,,,,,,,,,,,,2.6881406632031335,,,,,,,2.3118593367968665,2.6881406632031335,ESTABLE,False,True,included,True
prod_pilot_stable_high_mu,OK,0.003,0.2,1.0,0.0,0.75,20.0,displacement_only,0.500009,ESTABLE,False,False,0.00123683669,1.231657,4.461535,0.1002541,8.885389,10672.1232,0.7316807,0.0677404,249.0484,17525854.0,3338.543,data/processed/prod_pilot_stable_high_mu,OK;displacement_only;reference_time_s_0.5,estable por desplazamiento,pilot,exports/pilot_productivo_20260501/pilot_summary.csv,prod_pilot_stable_high_mu,,,,,,,,,,,,,,3.7683429999999998,,,,,,,1.231657,3.7683429999999998,ESTABLE,False,True,included,True
al1_base_m115_mu0620,OK_SQLITE,0.003,0.2,1.15,0.0,0.62,20.0,displacement_only,0.500009,ESTABLE,0,0,0.001236479276009,1.2313007354659906,4.691238879274231,0.0999946348060734,8.643260129384052,12428.86839115034,0.7257649839656496,0.0679919,,,,,complete_postprocess_sqlite,,al1,exports/al_batch1_hybrid_20260514/al_batch1_summary.csv,al1_base_m115_mu0620,,,9500.0,,0,1.2313007354659906,9.999024,V05,0.0682724043007129,hmax03,1.2294201683675927,,,3.7686992645340096,,,,,,,1.2313007354659906,3.7686992645340096,ESTABLE,False,True,included,True
batch4_mass_m115_H0200_mu0680,OK_SQLITE,0.003,0.2,1.15,0.0,0.68,20.0,displacement_only,0.500009,ESTABLE,0,0,0.0012366559747965,1.2314766942152948,4.408829118291414,0.099996632273292,8.41410242849521,12368.557684717529,0.7711037923993436,0.0681885,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m115_H0200_mu0680,,,9500.0,,0,1.2314766942152948,9.999005,V05,0.0682724043007129,hmax03,1.2294201683675927,,,3.768523305784705,,,,,,,1.2314766942152948,3.768523305784705,ESTABLE,False,True,included,True
al1_base_m125_mu0600,OK_SQLITE,0.003,0.2,1.25,0.0,0.6,20.0,displacement_only,0.500009,ESTABLE,0,0,0.001236479276009,1.2313007354659906,4.797483004536799,0.0999956834768381,8.378160534931041,13556.179082928697,0.8239931264295169,0.0676887,,,,,complete_postprocess_sqlite,,al1,exports/al_batch1_hybrid_20260514/al_batch1_summary.csv,al1_base_m125_mu0600,,,9500.0,,0,1.2313007354659906,9.999012,V05,0.0682724043007129,hmax03,1.2294201683675927,,,3.7686992645340096,,,,,,,1.2313007354659906,3.7686992645340096,ESTABLE,False,True,included,True
batch4_mass_m125_H0200_mu0675,OK_SQLITE,0.003,0.2,1.25,0.0,0.675,20.0,displacement_only,0.500009,ESTABLE,0,0,0.0012366559747965,1.2314766942152948,4.626925112464485,0.0999966822049611,8.540528120230096,13459.095229247358,0.7285774930888675,0.0685531,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m125_H0200_mu0675,,,9500.0,,0,1.2314766942152948,9.99902,V05,0.0682724043007129,hmax03,1.2294201683675927,,,3.768523305784705,,,,,,,1.2314766942152948,3.768523305784705,ESTABLE,False,True,included,True
batch4_mass_m085_H0210_mu0740,OK_SQLITE,0.003,0.21,0.85,0.0,0.74,20.0,displacement_only,0.500012,FALLO,1,1,0.0671118737705931,66.83080026941303,13.083428712303608,0.1002071973912053,8.628644058860003,6635.336446954111,0.8633497830222349,0.0701825,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m085_H0210_mu0740,,,9500.0,,1,66.83080026941303,9.999017,V05,0.0682724043007129,hmax03,1.2294201683675927,,,-61.83080026941303,,,,,,,66.83080026941303,-20.0,FALLO,False,True,included,True
al2_midH_m085_mu0880,,0.003,0.21,0.85,0.0,0.88,20.0,displacement_only,0.500012,FALLO,1,1,0.0052139602031469,5.192101456017119,,,,,,,,,,,,,al2,exports/al_batch2_bracket_closing_20260516/al_batch2_summary.csv,al2_midH_m085_mu0880,,,,,,,,,,,,5.213960203146952,-0.192910203146952,-0.19210145601711925,5.608558802825447,0.1000507905515993,9.005815962521163,6662.254529150939,0.8679049383565669,0.0698217,5.192101456017119,-0.19210145601711925,FALLO,False,True,included,True
