family,family_label,source_csv,case_id,status,is_official,is_partial,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,max_displacement_m,disp_mm,disp_pct_deq,margin_mm,margin_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,family_order,margin_pct
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m115_H0175_mu0640,OK_SQLITE,True,False,0.003,0.175,1.15,0.0,0.64,20.0,displacement_only,0.500003,ESTABLE,0.001237494646453,1.2374946464530001,1.2323118534027673,3.7835553535469995,3.7676881465972327,4.123986098141169,0.0999945349606667,8.783738172784124,32804.27757811425,0.7291393256689698,0.0662141,,,,3,3.7676881465972327
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m085_H0200_mu0682,OK_SQLITE,True,False,0.003,0.2,0.85,0.0,0.682,20.0,displacement_only,0.500009,FALLO,0.0503452093748745,50.3452093748745,50.13435690612936,-45.3241593748745,-45.13435690612936,11.27717887295702,0.1021401684793989,9.285439414897716,9137.759473683907,0.7589539446798429,0.0679143,,,,3,-45.13435690612936
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m100_H0200_mu0681,OK_SQLITE,True,False,0.003,0.2,1.0,0.0,0.681,20.0,displacement_only,0.500009,ESTABLE,0.0042962910748693,4.2962910748693,4.278297633371513,0.7247589251306996,0.7217023666284872,5.203381145335124,0.0999976809431098,8.352211079012312,10752.83374056948,0.7298531669072721,0.0682437,,,,3,0.7217023666284872
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m115_H0200_mu0680,OK_SQLITE,True,False,0.003,0.2,1.15,0.0,0.68,20.0,displacement_only,0.500009,ESTABLE,0.0012366559747965,1.2366559747965,1.2314766942152948,3.7843940252034995,3.768523305784705,4.408829118291414,0.099996632273292,8.41410242849521,12368.557684717529,0.7711037923993436,0.0681885,,,,3,3.768523305784705
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m125_H0200_mu0675,OK_SQLITE,True,False,0.003,0.2,1.25,0.0,0.675,20.0,displacement_only,0.500009,ESTABLE,0.0012366559747965,1.2366559747965,1.2314766942152948,3.7843940252034995,3.768523305784705,4.626925112464485,0.0999966822049611,8.540528120230096,13459.095229247358,0.7285774930888675,0.0685531,,,,3,3.768523305784705
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m085_H0210_mu0740,OK_SQLITE,True,False,0.003,0.21,0.85,0.0,0.74,20.0,displacement_only,0.500012,FALLO,0.0671118737705931,67.1118737705931,66.83080026941303,-62.090823770593104,-61.83080026941303,13.083428712303608,0.1002071973912053,8.628644058860003,6635.336446954111,0.8633497830222349,0.0701825,,,,3,-61.83080026941303
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m115_H0210_mu0760,OK_SQLITE,True,False,0.003,0.21,1.15,0.0,0.76,20.0,displacement_only,0.500012,ESTABLE,0.0012378279363465,1.2378279363465001,1.2326437474336316,3.7832220636534997,3.767356252566368,4.39126042358876,0.1002902201313767,9.309878639016944,8964.265899448154,0.862941903632591,0.0696376,,,,3,3.767356252566368
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m085_H0225_mu0800,OK_SQLITE,True,False,0.003,0.225,0.85,0.0,0.8,20.0,displacement_only,0.500001,FALLO,0.1069992912172789,106.9992912172789,106.55116387830704,-101.97824121727889,-101.55116387830704,16.373819552152725,0.1640414474485031,8.781030988241016,59578.1214594233,0.8545855750890311,0.073905,,,,3,-101.55116387830704
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m100_H0225_mu0860,OK_SQLITE,True,False,0.003,0.225,1.0,0.0,0.86,20.0,displacement_only,0.500001,FALLO,0.0058725423795827,5.8725423795827,5.8479473868531135,-0.8514923795826999,-0.8479473868531135,5.702800219957474,0.100081074149911,9.99023878483893,70451.93383087036,0.9499924616238804,0.0709851,,,,3,-0.8479473868531135
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m125_H0225_mu0800,OK_SQLITE,True,False,0.003,0.225,1.25,0.0,0.8,20.0,displacement_only,0.500001,ESTABLE,0.0012389003188311,1.2389003188311,1.2337116386369946,3.7821496811688995,3.7662883613630056,4.833981138426475,0.1002960776251992,10.746285818603978,87614.89526145483,0.9312096022735804,0.0703618,,,,3,3.7662883613630056
batch4,Batch 4 masa,exports\batch4_mass_probe_20260513\batch4_summary.csv,batch4_mass_m125_H0225_mu0860,PARTIAL_RECOVERED_NOT_SQLITE,False,True,0.003,0.225,1.25,0.0,0.86,20.0,displacement_only,0.500001,ESTABLE,0.0012390811111464,1.2390811111464,1.2338916737699144,3.7819688888535996,3.7661083262300856,4.7277526044886775,0.1000820729301706,10.404905452722767,88064.9427373038,0.8898783065983797,0.0580703,,,,3,3.7661083262300856
al1,AL1,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv,al1_lowH_m085_mu0620,OK_SQLITE,True,False,0.003,0.175,0.85,0.0,0.62,20.0,displacement_only,0.500003,ESTABLE,0.0012374708077364,1.2374708077364,1.23228811452592,3.7835791922635997,3.76771188547408,4.100690882481269,0.0999946347810721,8.754595291249961,24216.04404758605,0.7055652735233502,0.0664425,,,,4,3.76771188547408
al1,AL1,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv,al1_base_m085_mu0780,OK_SQLITE,True,False,0.003,0.2,0.85,0.0,0.78,20.0,displacement_only,0.500009,FALLO,0.0076723611750228,7.6723611750228,7.640228300516158,-2.6513111750228004,-2.640228300516158,6.09278432043761,0.1003360992514658,8.239863667599664,9057.936564890537,0.8049792931629297,0.0675525,,,,4,-2.640228300516158
al1,AL1,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv,al1_base_m115_mu0620,OK_SQLITE,True,False,0.003,0.2,1.15,0.0,0.62,20.0,displacement_only,0.500009,ESTABLE,0.001236479276009,1.236479276009,1.2313007354659906,3.784570723991,3.7686992645340096,4.691238879274231,0.0999946348060734,8.643260129384052,12428.86839115034,0.7257649839656496,0.0679919,,,,4,3.7686992645340096
